emg_key,participant_id,n_mat_step4,n_mat_sim2,n_c3d_step4,n_mat_raw,n_c3d_raw
EMG_01_R_M_m_tibialis_anterior,RD0002,0,0,4,0,4
EMG_01_R_M_tibialis_anterior,RD0001,17,17,17,17,17
EMG_01_R_M_tibialis_anterior,RD0002,18,18,0,18,0
EMG_01_R_M_tibialis_anterior,RD0006,14,14,14,14,14
EMG_01_R_M_tibialis_anterior,RD0012,22,22,22,22,22
EMG_01_R_M_tibialis_anterior,RD0016,18,18,21,18,21
EMG_01_R_M_tibialis_anterior,RD0024,16,16,16,16,16
EMG_01_R_M_tibialis_anterior,RD0028,12,12,12,12,12
EMG_01_R_M_tibialis_anterior,RD0029,15,15,15,15,15
EMG_01_R_M_tibialis_anterior,RD0035,13,13,13,13,13
EMG_01_R_M_tibialis_anterior,RD0036,22,22,22,22,22
EMG_01_R_M_tibialis_anterior,RD0037,8,8,8,8,8
EMG_01_R_M_tibialis_anterior,RD0041,23,23,23,23,23
EMG_01_R_M_tibialis_anterior,RD0043,15,15,15,15,15
EMG_01_R_M_tibialis_anterior,RD0044,6,6,6,6,6
EMG_01_R_M_tibialis_anterior,RD0045,4,4,4,4,4
EMG_01_R_M_tibialis_anterior,RD0047,6,6,6,6,6
EMG_01_R_M_tibialis_anterior,RD0050,12,12,12,12,12
EMG_01_R_M_tibialis_anterior,RD0051,8,8,8,8,8
EMG_01_R_M_tibialis_anterior,RD0052,16,16,16,16,16
EMG_01_R_M_tibialis_anterior,RD0055,4,4,4,4,4
EMG_01_R_M_tibialis_anterior,RD0057,17,17,17,17,17
EMG_01_R_M_tibialis_anterior,RD0059,9,9,9,9,9
EMG_01_R_M_tibialis_anterior,RD0060,6,6,6,6,6
EMG_01_R_M_tibialis_anterior,RD0064,16,16,16,16,16
EMG_01_R_M_tibialis_anterior,RD0072,4,4,4,4,4
EMG_01_R_M_tibialis_anterior,RD0075,7,7,7,7,7
EMG_01_R_M_tibialis_anterior,RD0079,9,9,9,9,9
EMG_01_R_M_tibialis_anterior,RD0080,18,18,18,18,18
EMG_01_R_M_tibialis_anterior,RD71,4,4,4,4,4
EMG_02_R_M_m_peroneus_long,RD0002,0,0,4,0,4
EMG_02_R_M_peroneus_long,RD0001,17,17,17,17,17
EMG_02_R_M_peroneus_long,RD0002,18,18,0,18,0
EMG_02_R_M_peroneus_long,RD0006,14,14,14,14,14
EMG_02_R_M_peroneus_long,RD0012,22,22,22,22,22
EMG_02_R_M_peroneus_long,RD0016,18,18,21,18,21
EMG_02_R_M_peroneus_long,RD0024,16,16,16,16,16
EMG_02_R_M_peroneus_long,RD0028,12,12,12,12,12
EMG_02_R_M_peroneus_long,RD0029,15,15,15,15,15
EMG_02_R_M_peroneus_long,RD0035,13,13,13,13,13
EMG_02_R_M_peroneus_long,RD0036,22,22,22,22,22
EMG_02_R_M_peroneus_long,RD0037,8,8,8,8,8
EMG_02_R_M_peroneus_long,RD0041,23,23,23,23,23
EMG_02_R_M_peroneus_long,RD0043,15,15,15,15,15
EMG_02_R_M_peroneus_long,RD0044,6,6,6,6,6
EMG_02_R_M_peroneus_long,RD0045,4,4,4,4,4
EMG_02_R_M_peroneus_long,RD0047,6,6,6,6,6
EMG_02_R_M_peroneus_long,RD0050,12,12,12,12,12
EMG_02_R_M_peroneus_long,RD0051,8,8,8,8,8
EMG_02_R_M_peroneus_long,RD0052,16,16,16,16,16
EMG_02_R_M_peroneus_long,RD0055,4,4,4,4,4
EMG_02_R_M_peroneus_long,RD0057,17,17,17,17,17
EMG_02_R_M_peroneus_long,RD0059,9,9,9,9,9
EMG_02_R_M_peroneus_long,RD0060,6,6,6,6,6
EMG_02_R_M_peroneus_long,RD0064,16,16,16,16,16
EMG_02_R_M_peroneus_long,RD0072,4,4,4,4,4
EMG_02_R_M_peroneus_long,RD0075,7,7,7,7,7
EMG_02_R_M_peroneus_long,RD0079,9,9,9,9,9
EMG_02_R_M_peroneus_long,RD0080,18,18,18,18,18
EMG_02_R_M_peroneus_long,RD71,4,4,4,4,4
EMG_03_R_M_gastro_lat,RD0001,17,17,17,17,17
EMG_03_R_M_gastro_lat,RD0002,18,18,0,18,0
EMG_03_R_M_gastro_lat,RD0006,14,14,14,14,14
EMG_03_R_M_gastro_lat,RD0012,22,22,22,22,22
EMG_03_R_M_gastro_lat,RD0016,18,18,21,18,21
EMG_03_R_M_gastro_lat,RD0024,16,16,16,16,16
EMG_03_R_M_gastro_lat,RD0028,12,12,12,12,12
EMG_03_R_M_gastro_lat,RD0029,15,15,15,15,15
EMG_03_R_M_gastro_lat,RD0035,13,13,13,13,13
EMG_03_R_M_gastro_lat,RD0036,22,22,22,22,22
EMG_03_R_M_gastro_lat,RD0037,8,8,8,8,8
EMG_03_R_M_gastro_lat,RD0041,23,23,23,23,23
EMG_03_R_M_gastro_lat,RD0043,15,15,15,15,15
EMG_03_R_M_gastro_lat,RD0044,6,6,6,6,6
EMG_03_R_M_gastro_lat,RD0045,4,4,4,4,4
EMG_03_R_M_gastro_lat,RD0047,6,6,6,6,6
EMG_03_R_M_gastro_lat,RD0050,12,12,12,12,12
EMG_03_R_M_gastro_lat,RD0051,8,8,8,8,8
EMG_03_R_M_gastro_lat,RD0052,16,16,16,16,16
EMG_03_R_M_gastro_lat,RD0055,4,4,4,4,4
EMG_03_R_M_gastro_lat,RD0057,17,17,17,17,17
EMG_03_R_M_gastro_lat,RD0059,9,9,9,9,9
EMG_03_R_M_gastro_lat,RD0060,6,6,6,6,6
EMG_03_R_M_gastro_lat,RD0064,16,16,16,16,16
EMG_03_R_M_gastro_lat,RD0072,4,4,4,4,4
EMG_03_R_M_gastro_lat,RD0075,7,7,7,7,7
EMG_03_R_M_gastro_lat,RD0079,9,9,9,9,9
EMG_03_R_M_gastro_lat,RD0080,18,18,18,18,18
EMG_03_R_M_gastro_lat,RD71,4,4,4,4,4
EMG_03_R_M_m_gastro_lat,RD0002,0,0,4,0,4
EMG_04_R_M_gastroc_med,RD0001,17,17,17,17,17
EMG_04_R_M_gastroc_med,RD0002,18,18,0,18,0
EMG_04_R_M_gastroc_med,RD0006,14,14,14,14,14
EMG_04_R_M_gastroc_med,RD0012,22,22,22,22,22
EMG_04_R_M_gastroc_med,RD0016,18,18,21,18,21
EMG_04_R_M_gastroc_med,RD0024,16,16,16,16,16
EMG_04_R_M_gastroc_med,RD0028,12,12,12,12,12
EMG_04_R_M_gastroc_med,RD0029,15,15,15,15,15
EMG_04_R_M_gastroc_med,RD0035,13,13,13,13,13
EMG_04_R_M_gastroc_med,RD0036,22,22,22,22,22
EMG_04_R_M_gastroc_med,RD0037,8,8,8,8,8
EMG_04_R_M_gastroc_med,RD0041,23,23,23,23,23
EMG_04_R_M_gastroc_med,RD0043,15,15,15,15,15
EMG_04_R_M_gastroc_med,RD0044,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0045,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0047,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0050,12,12,12,12,12
EMG_04_R_M_gastroc_med,RD0051,8,8,8,8,8
EMG_04_R_M_gastroc_med,RD0052,16,16,16,16,16
EMG_04_R_M_gastroc_med,RD0055,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0057,17,17,17,17,17
EMG_04_R_M_gastroc_med,RD0059,9,9,9,9,9
EMG_04_R_M_gastroc_med,RD0060,6,6,6,6,6
EMG_04_R_M_gastroc_med,RD0064,16,16,16,16,16
EMG_04_R_M_gastroc_med,RD0072,4,4,4,4,4
EMG_04_R_M_gastroc_med,RD0075,7,7,7,7,7
EMG_04_R_M_gastroc_med,RD0079,9,9,9,9,9
EMG_04_R_M_gastroc_med,RD0080,18,18,18,18,18
EMG_04_R_M_gastroc_med,RD71,4,4,4,4,4
EMG_04_R_M_m_gastroc_med,RD0002,0,0,4,0,4
EMG_05_R_M_m_soleus,RD0002,0,0,4,0,4
EMG_05_R_M_soleus,RD0001,17,17,17,17,17
EMG_05_R_M_soleus,RD0002,18,18,0,18,0
EMG_05_R_M_soleus,RD0006,14,14,14,14,14
EMG_05_R_M_soleus,RD0012,22,22,22,22,22
EMG_05_R_M_soleus,RD0016,18,18,21,18,21
EMG_05_R_M_soleus,RD0024,16,16,16,16,16
EMG_05_R_M_soleus,RD0028,12,12,12,12,12
EMG_05_R_M_soleus,RD0029,15,15,15,15,15
EMG_05_R_M_soleus,RD0035,13,13,13,13,13
EMG_05_R_M_soleus,RD0036,22,22,22,22,22
EMG_05_R_M_soleus,RD0037,8,8,8,8,8
EMG_05_R_M_soleus,RD0041,23,23,23,23,23
EMG_05_R_M_soleus,RD0043,15,15,15,15,15
